epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,48.8157,0.42972,0.9202,0.85099,0.89551,0.5,0.82833,0.7455,0.39094,2.39192,0.828,0.000676949,0.000676949,0.000676949
45,49.8883,0.552,1.18264,1.01929,0.9321,0.5,0.82833,0.64878,0.55977,2.50385,0.85714,0.000688336,0.000688336,0.000688336
46,50.9927,0.35327,0.88902,0.89513,0.9321,0.5,0.82833,0.64878,0.55977,2.50385,0.85714,0.000699525,0.000699525,0.000699525
47,52.0896,0.47151,1.52749,1.00836,0.95422,0.5,0.62,0.54554,0.75544,2.57356,0.93322,0.000710516,0.000710516,0.000710516
48,53.1316,0.60291,0.95262,1.00743,0.95422,0.5,0.62,0.54554,0.75544,2.57356,0.93322,0.000721309,0.000721309,0.000721309
49,54.2735,0.38252,1.01946,0.91139,0.96486,0.5,0.66167,0.5955,0.58588,2.36383,0.87783,0.000731904,0.000731904,0.000731904
50,55.308,0.76419,1.49392,1.16829,0.96486,0.5,0.66167,0.5955,0.58588,2.36383,0.87783,0.000742301,0.000742301,0.000742301
51,56.3761,0.59646,1.07969,0.99539,0.76815,0.5,0.63786,0.33704,0.83946,3.25479,1.03068,0.0007525,0.0007525,0.0007525
52,57.4173,0.92153,1.67714,1.35973,0.76815,0.5,0.63786,0.33704,0.83946,3.25479,1.03068,0.000762501,0.000762501,0.000762501
53,58.5313,0.69691,1.21029,1.22959,0.76815,0.5,0.63786,0.33704,0.83946,3.25479,1.03068,0.000772304,0.000772304,0.000772304
54,59.6991,0.44432,0.96734,0.8465,0.39197,0.5,0.4475,0.28878,0.96825,3.24205,1.19483,0.000781909,0.000781909,0.000781909
55,60.7376,0.43001,0.7724,0.96757,0.39197,0.5,0.4475,0.28878,0.96825,3.24205,1.19483,0.000791316,0.000791316,0.000791316
56,61.816,0.63812,1.16386,0.96478,0.39197,0.5,0.4475,0.28878,0.96825,3.24205,1.19483,0.000800525,0.000800525,0.000800525
57,62.9801,0.46588,0.86253,0.91569,0.59195,1,0.995,0.69609,0.99732,2.61431,1.1395,0.000809536,0.000809536,0.000809536
58,64.1779,0.58043,0.96072,0.86405,0.59195,1,0.995,0.69609,0.99732,2.61431,1.1395,0.000818349,0.000818349,0.000818349
